"Callback comments","Komentáře zpětného volání"
"Transaction mode","Režim transakce"
"Bank account details to transfer the amount","Údaje o bankovním účtu k převodu částky"
"Guarantee payment pending comments","Zaručit platbu čekající komentáře"
"Transaction ID","ID transakce"
"Payment method","Způsob platby"
"novalnetCreditCard","Kreditní/debetní karty"
"novalnetSepa","Přímý debet sepa"
"novalnetInvoice","Faktura"
"novalnetPrepayment","Předplacení"
"novalnetIdeal,"iDEAL"
"novalnetSofort","Sofort"
"novalnetGiropay","giropay"
"novalnetBarzahlen","Barzahlen/viacash"
"novalnetPrzelewy","Przelewy24"
"novalnetEps","eps"
"novalnetPaypal","PayPal"
"novalnetPostfinanceCard","PostFinance Card"
"novalnetPostfinance","PostFinance E-Finance"
"novalnetBancontact","Bancontact"
"novalnetMultibanco","Multibanco"

