"Callback comments","Коментари за обратно извикване"
"Transaction mode","Режим на транзакция"
"Bank account details to transfer the amount","Подробности за банковата сметка за прехвърляне на сумата"
"Guarantee payment pending comments","Гарантно плащане в очакване на коментари"
"Transaction ID","номер на транзакцията"
"Payment method","Начин на плащане"
"novalnetCreditCard","Кредитни/дебитни карти"
"novalnetSepa","Директен дебит SEPA"
"novalnetInvoice","Фактура"
"novalnetPrepayment","Предварително плащане"
"novalnetIdeal,"iDEAL"
"novalnetSofort","Sofort"
"novalnetGiropay","giropay"
"novalnetBarzahlen","Barzahlen/viacash"
"novalnetPrzelewy","Przelewy24"
"novalnetEps","eps"
"novalnetPaypal","PayPal"
"novalnetPostfinanceCard","PostFinance Card"
"novalnetPostfinance","PostFinance E-Finance"
"novalnetBancontact","Bancontact"
"novalnetMultibanco","Multibanco"

