"novalnetCreditCard","Credit/Debit Cards",en_US
"novalnetCreditCard","Kredit-/Debitkarte",de_DE
"novalnetCreditCard","Cartes de crédit / débit",fr_FR
"novalnetCreditCard","Πιστωτικές/χρεωστικές κάρτες",rl_GR
"novalnetCreditCard","Carte di credito/debito",it_IT
"novalnetCreditCard","Cartões de crédito/débito",pt_PT
"novalnetCreditCard","Tarjetas de crédito/débito",es_ES
"novalnetCreditCard","Kreditt-/debetkort",nn_NO
"novalnetCreditCard","Kredit-/betalkort",sv_SE
"novalnetCreditCard","Luotto-/maksukortit",fi_FI
"novalnetCreditCard","Kredit-/betalingskort",da_DK
"novalnetCreditCard","Kreditní/debetní karty",cs_CZ
"novalnetCreditCard","Karty kredytowe/debetowe",pl_PL
"novalnetCreditCard","Kreditné/debetné karty",sk_SK
"novalnetCreditCard","Kreditne / debitne kartice",bs_BA
"novalnetCreditCard","Kreditne/debitne kartice",hr_HR
"novalnetCreditCard","Кредитне / дебитне картице",sr_ME
"novalnetCreditCard","Кредитне / дебитне картице",sr_RS
"novalnetCreditCard","Kreditne/debetne kartice",sl_SL
"novalnetCreditCard","Kartat e kreditit/debitit",al_AL
"novalnetCreditCard","Кредитни/дебитни карти",bg_BG
"novalnetCreditCard","Kartat e kreditit/debitit",al_XK
"novalnetCreditCard","Кредитни/дебитни картички",mk_MK
"novalnetSepa","Direct Debit SEPA",en_US
"novalnetSepa","SEPA-Lastschrift",de_DE
"novalnetSepa","SEPA de débit direct",fr_FR
"novalnetSepa","Άμεση χρέωση",rl_GR
"novalnetSepa","Debiti diretti sepa",it_IT
"novalnetSepa","Débito direto sepa",pt_PT
"novalnetSepa","SEPA de débito directo",es_ES
"novalnetSepa","Direkte debet Sepa",nn_NO
"novalnetSepa","Direktdebitering SEPA",sv_SE
"novalnetSepa","DIRECT Debit SEPA",fi_FI
"novalnetSepa","Direkte debet SEPA",da_DK
"novalnetSepa","Přímý debet sepa",cs_CZ
"novalnetSepa","SEPA DEBETU DEBET",pl_PL
"novalnetSepa","SPRIPE DEBET SEPA",sk_SK
"novalnetSepa","Direktno debit Sepa",bs_BA
"novalnetSepa","Izravno debitno sepa",hr_HR
"novalnetSepa","Директни дебит сепа",sr_ME
"novalnetSepa","Директни дебит сепа",sr_RS
"novalnetSepa","Neposredna debetna sepa",sl_SL
"novalnetSepa","Debiti i drejtpërdrejtë SEPA",al_AL
"novalnetSepa","Директен дебит SEPA",bg_BG
"novalnetSepa","Debiti i drejtpërdrejtë SEPA",al_XK
"novalnetSepa","Директен дебитен СЕПА",mk_MK
"novalnetSepaGuarantee","Direct Debit SEPA with payment guarantee",en_US
"novalnetSepaGuarantee","SEPA-Lastschrift mit Zahlungsgarantie",de_DE
"novalnetSepaGuarantee","SEPA de débit direct avec garantie de paiement",fr_FR
"novalnetSepaGuarantee","Άμεση χρέωση SEPA με εγγύηση πληρωμής",rl_GR
"novalnetSepaGuarantee","Debito diretto SEPA con garanzia di pagamento",it_IT
"novalnetSepaGuarantee","Débito direto sepa com garantia de pagamento",pt_PT
"novalnetSepaGuarantee","SEPA de débito directo con garantía de pago",es_ES
"novalnetSepaGuarantee","Direkte debet Sepa med betalingsgaranti",nn_NO
"novalnetSepaGuarantee","Direkt debitering SEPA med betalningsgaranti",sv_SE
"novalnetSepaGuarantee","DIRECT Debit SEPA maksutakuu",fi_FI
"novalnetSepaGuarantee","Direkte debet SEPA med betalingsgaranti",da_DK
"novalnetSepaGuarantee","Přímý debetní SEPA s zárukou platby",cs_CZ
"novalnetSepaGuarantee","SEPA debet zapłaty z gwarancją płatności",pl_PL
"novalnetSepaGuarantee","SPRIPE DEBET SEPA so zárukou platby",sk_SK
"novalnetSepaGuarantee","Direktno zaduženje SEPA sa garancijom za plaćanje",bs_BA
"novalnetSepaGuarantee","Izravno zaduženje SEPA s jamstvom plaćanja",hr_HR
